[[16, 17, 4, 5], [14, 15, 17, 16], [13, 1, 15, 14], [1, 2, 12, 13], [3, 4, 11, 12], [5, 3, 2, 11]]
[[16, 17, 4, 6], [14, 15, 17, 16], [13, 2, 15, 14], [11, 4, 12, 13], [1, 6, 3, 12], [1, 2, 3, 11]]
[[16, 17, 2, 5], [14, 15, 17, 16], [13, 3, 15, 14], [1, 2, 12, 13], [11, 1, 4, 12], [3, 4, 5, 11]]
[[16, 17, 4, 3], [14, 15, 17, 16], [13, 5, 15, 14], [1, 2, 12, 13], [11, 1, 2, 12], [3, 4, 5, 11]]
[[16, 17, 4, 8], [14, 15, 17, 16], [13, 12, 15, 14], [1, 2, 3, 13], [4, 11, 8, 12], [3, 2, 1, 11]]
[[16, 17, 4, 5], [14, 15, 17, 16], [13, 12, 15, 14], [1, 2, 3, 13], [4, 5, 11, 12], [3, 2, 1, 11]]
[[16, 17, 12, 5], [14, 15, 17, 16], [13, 4, 15, 14], [1, 2, 3, 13], [5, 11, 1, 12], [4, 3, 2, 11]]
[[16, 17, 12, 5], [14, 15, 17, 16], [13, 4, 15, 14], [1, 2, 3, 13], [5, 4, 11, 12], [3, 2, 1, 11]]
[[13, 14, 12, 8], [1, 11, 14, 13], [9, 10, 12, 11], [2, 7, 10, 9], [5, 6, 8, 7], [1, 2, 6, 5]]
[[13, 14, 12, 8], [5, 11, 14, 13], [9, 10, 12, 11], [2, 7, 10, 9], [1, 6, 8, 7], [2, 1, 5, 6]]
[[13, 14, 12, 8], [5, 11, 14, 13], [9, 10, 12, 11], [6, 7, 10, 9], [1, 2, 8, 7], [1, 2, 6, 5]]
[[13, 14, 12, 8], [1, 11, 14, 13], [9, 10, 12, 11], [5, 7, 10, 9], [6, 2, 8, 7], [2, 1, 6, 5]]
[[14, 15, 13, 9], [1, 12, 15, 14], [10, 11, 13, 12], [2, 8, 11, 10], [7, 3, 9, 8], [3, 1, 2, 7]]
[[13, 14, 12, 2], [1, 11, 14, 13], [9, 10, 12, 11], [8, 7, 10, 9], [2, 5, 6, 8], [1, 7, 6, 5]]
[[14, 15, 13, 3], [1, 12, 15, 14], [10, 11, 13, 12], [9, 2, 11, 10], [2, 7, 8, 9], [3, 1, 8, 7]]
[[14, 15, 13, 2], [1, 12, 15, 14], [10, 11, 13, 12], [9, 3, 11, 10], [2, 7, 8, 9], [3, 1, 8, 7]]
[[14, 15, 13, 4], [1, 12, 15, 14], [10, 11, 13, 12], [9, 2, 11, 10], [2, 7, 8, 9], [1, 4, 8, 7]]
[[14, 15, 13, 3], [1, 12, 15, 14], [10, 11, 13, 12], [9, 8, 11, 10], [2, 3, 7, 9], [1, 2, 8, 7]]
[[14, 15, 13, 3], [1, 12, 15, 14], [10, 11, 13, 12], [9, 8, 11, 10], [2, 3, 7, 9], [2, 1, 8, 7]]
[[14, 15, 13, 4], [1, 12, 15, 14], [10, 11, 13, 12], [9, 8, 11, 10], [2, 1, 7, 9], [4, 2, 8, 7]]
[[14, 15, 13, 3], [1, 12, 15, 14], [10, 11, 13, 12], [9, 2, 11, 10], [7, 8, 1, 9], [2, 3, 8, 7]]
[[14, 15, 13, 4], [1, 12, 15, 14], [10, 11, 13, 12], [9, 2, 11, 10], [7, 8, 4, 9], [2, 1, 8, 7]]
[[15, 16, 14, 4], [1, 13, 16, 15], [11, 12, 14, 13], [10, 3, 12, 11], [2, 9, 1, 10], [3, 4, 2, 9]]
[[15, 16, 14, 4], [1, 13, 16, 15], [11, 12, 14, 13], [10, 2, 12, 11], [2, 9, 3, 10], [3, 4, 1, 9]]
[[15, 16, 14, 5], [1, 13, 16, 15], [11, 12, 14, 13], [10, 2, 12, 11], [2, 9, 3, 10], [3, 1, 5, 9]]
[[15, 16, 14, 6], [1, 13, 16, 15], [11, 12, 14, 13], [10, 3, 12, 11], [2, 9, 6, 10], [3, 2, 1, 9]]
[[15, 16, 14, 4], [1, 13, 16, 15], [11, 12, 14, 13], [10, 3, 12, 11], [2, 3, 9, 10], [4, 2, 1, 9]]
[[15, 16, 14, 3], [1, 13, 16, 15], [11, 12, 14, 13], [10, 4, 12, 11], [2, 3, 9, 10], [4, 2, 1, 9]]
[[14, 15, 13, 9], [1, 12, 15, 14], [10, 11, 13, 12], [2, 1, 11, 10], [4, 7, 8, 9], [2, 4, 8, 7]]
[[14, 15, 13, 9], [1, 12, 15, 14], [10, 11, 13, 12], [2, 1, 11, 10], [7, 8, 4, 9], [4, 2, 8, 7]]
[[13, 14, 12, 10], [5, 11, 14, 13], [2, 9, 12, 11], [7, 8, 10, 9], [1, 6, 8, 7], [2, 1, 5, 6]]
[[13, 14, 12, 10], [1, 11, 14, 13], [5, 9, 12, 11], [7, 8, 10, 9], [6, 2, 8, 7], [2, 1, 6, 5]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [8, 9, 11, 10], [7, 3, 9, 8], [3, 1, 2, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [8, 9, 11, 10], [7, 3, 9, 8], [3, 2, 1, 7]]
[[13, 14, 12, 10], [7, 11, 14, 13], [2, 9, 12, 11], [1, 8, 10, 9], [6, 5, 7, 8], [2, 1, 5, 6]]
[[13, 14, 12, 10], [7, 11, 14, 13], [6, 9, 12, 11], [1, 8, 10, 9], [2, 5, 7, 8], [1, 2, 6, 5]]
[[13, 14, 12, 10], [7, 11, 14, 13], [5, 9, 12, 11], [6, 8, 10, 9], [2, 1, 7, 8], [2, 1, 6, 5]]
[[13, 14, 12, 10], [7, 11, 14, 13], [2, 9, 12, 11], [5, 8, 10, 9], [6, 1, 7, 8], [1, 2, 6, 5]]
[[14, 15, 13, 11], [8, 12, 15, 14], [2, 10, 13, 12], [3, 9, 11, 10], [7, 1, 8, 9], [1, 2, 3, 7]]
[[13, 14, 12, 10], [7, 11, 14, 13], [8, 9, 12, 11], [6, 2, 10, 9], [1, 5, 8, 7], [2, 1, 6, 5]]
[[13, 14, 12, 10], [7, 11, 14, 13], [8, 9, 12, 11], [1, 6, 10, 9], [5, 2, 8, 7], [2, 1, 5, 6]]
[[14, 15, 13, 11], [8, 12, 15, 14], [9, 10, 13, 12], [2, 3, 11, 10], [7, 1, 9, 8], [1, 2, 3, 7]]
[[13, 14, 12, 10], [1, 11, 14, 13], [7, 9, 12, 11], [8, 2, 10, 9], [5, 6, 8, 7], [2, 1, 6, 5]]
[[13, 14, 12, 10], [1, 11, 14, 13], [7, 9, 12, 11], [8, 6, 10, 9], [2, 5, 8, 7], [1, 2, 6, 5]]
[[13, 14, 12, 10], [5, 11, 14, 13], [7, 9, 12, 11], [8, 2, 10, 9], [6, 1, 8, 7], [1, 2, 6, 5]]
